RUA,NUM,IDD,SEXO
RUA T,764,25,F
RUA V,918,22,F
RUA A,738,44,M
RUA X,703,85,F
RUA O,347,9,F
RUA N,853,97,F
RUA S,401,8,M
RUA C,98,17,M
RUA E,519,67,M
RUA M,694,1,F
RUA N,317,37,M
RUA N,396,99,M
RUA R,967,42,F
RUA X,7,46,F
RUA F,278,15,F
RUA Q,594,90,F
RUA G,31,84,F
RUA I,293,30,M
RUA D,659,95,F
RUA F,268,78,F
RUA J,103,29,F
RUA A,962,68,M
RUA P,887,7,M
RUA K,58,19,M
RUA C,302,5,M
RUA U,794,22,M
RUA F,609,16,F
RUA I,582,45,F
RUA O,372,14,M
RUA Q,120,67,F
RUA H,922,71,F
RUA L,253,31,M
RUA L,355,94,M
RUA T,717,81,F
RUA U,185,29,M
RUA V,569,48,M
RUA J,737,5,F
RUA M,313,21,F
RUA V,907,89,F
RUA D,785,43,F
RUA H,897,95,F
RUA J,887,17,M
RUA O,302,48,M
RUA N,168,56,M
RUA O,248,95,M
RUA G,96,38,F
RUA R,343,19,F
RUA K,575,99,F
RUA X,657,7,F
RUA R,178,20,M
RUA E,161,3,F
RUA G,122,2,M
RUA M,760,2,F
RUA X,447,64,M
RUA V,870,73,F
RUA V,716,25,F
RUA J,61,67,M
RUA L,741,38,M
RUA R,898,62,F
RUA T,992,59,F
RUA P,734,76,F
RUA Q,320,46,F
RUA I,254,73,M
RUA C,30,3,F
RUA I,443,40,F
RUA I,849,10,F
RUA N,905,63,F
RUA P,509,79,F
RUA F,181,2,M
RUA T,38,99,M
RUA W,217,7,M
RUA P,121,84,F
RUA P,577,11,M
RUA O,680,24,F
RUA O,164,9,M
RUA R,715,72,F
RUA A,672,90,M
RUA U,161,47,F
RUA H,503,7,F
RUA V,667,23,F
RUA L,998,84,M
RUA X,934,38,F
RUA O,668,81,M
RUA C,265,100,M
RUA K,858,65,F
RUA I,55,76,F
RUA C,13,41,F
RUA T,957,65,M
RUA V,808,38,M
RUA T,924,15,M
RUA J,529,76,M
RUA L,307,54,F
RUA O,460,62,M
RUA U,456,22,M
RUA K,713,9,F
RUA V,898,76,F
RUA S,401,5,M
RUA L,44,11,F
RUA K,521,66,F
RUA D,296,62,F
RUA E,604,25,F
RUA G,900,34,M
RUA N,164,15,M
RUA R,99,78,F
RUA M,17,67,F
RUA Q,774,12,M
RUA J,670,2,M
RUA D,229,54,F
RUA S,265,55,F
RUA C,22,92,F
RUA W,219,11,F
RUA W,99,63,F
RUA S,393,13,F
RUA H,7,28,F
RUA U,670,36,F
RUA W,153,63,F
RUA W,130,26,M
RUA M,425,7,M
RUA R,723,49,M
RUA G,967,92,F
RUA I,3,36,M
RUA A,601,53,F
RUA H,152,26,M
RUA D,233,97,M
RUA P,445,32,F
RUA B,573,32,F
RUA R,972,60,F
RUA G,183,19,F
RUA X,958,44,F
RUA J,984,96,F
RUA C,500,53,M
RUA U,490,74,F
RUA L,317,98,F
RUA K,888,5,M
RUA I,225,28,F
RUA J,650,12,M
RUA O,569,15,M
RUA B,980,33,M
RUA G,243,8,M
RUA J,297,7,M
RUA R,56,43,F
RUA K,109,40,F
RUA A,935,90,M
RUA T,674,33,F
RUA T,7,95,M
RUA V,859,45,F
RUA J,291,13,F
RUA L,12,100,F
RUA S,142,58,F
RUA P,187,20,F
RUA L,821,44,M
RUA N,754,35,F
RUA B,56,17,M
RUA N,492,62,M
RUA D,255,60,M
RUA V,954,3,F
RUA A,814,77,F
RUA Q,780,68,F
RUA K,548,14,F
RUA J,185,88,M
RUA A,411,32,F
RUA L,733,21,F
RUA L,895,28,M
RUA C,894,92,M
RUA G,465,57,F
RUA K,96,50,F
RUA L,336,8,F
RUA S,816,23,M
RUA U,374,48,M
RUA E,619,65,M
RUA W,223,5,F
RUA E,582,58,F
RUA P,605,64,F
RUA V,343,53,F
RUA N,937,35,F
RUA J,875,48,M
RUA C,549,53,M
RUA K,178,34,F
RUA I,679,49,F
RUA K,179,37,M
RUA S,531,65,M
RUA L,871,21,M
RUA L,464,73,M
RUA U,427,99,F
RUA T,161,96,F
RUA J,293,73,M
RUA E,275,36,M
RUA B,870,97,M
RUA D,669,1,M
RUA E,542,54,M
RUA S,2,52,F
RUA E,487,33,F
RUA V,107,31,F
RUA X,221,89,M
RUA H,832,8,M
RUA U,822,76,M
RUA O,486,38,M
RUA C,321,34,M
RUA B,692,70,F
RUA M,895,54,F
RUA O,66,60,F
RUA C,678,5,M
RUA F,682,79,F
RUA V,30,79,M
RUA E,74,24,M
RUA E,180,37,F
RUA J,101,17,M
RUA E,920,62,M
RUA V,684,61,F
RUA C,988,33,F
RUA V,248,18,F
RUA C,761,66,F
RUA L,768,56,F
RUA C,25,92,M
RUA X,341,50,M
RUA T,897,45,F
RUA C,967,92,M
RUA V,782,32,F
RUA K,570,45,M
RUA K,351,99,F
RUA R,233,30,M
RUA L,966,2,F
RUA M,40,55,F
RUA J,776,2,F
RUA A,745,93,M
RUA U,579,14,M
RUA H,322,40,F
RUA P,601,84,F
RUA P,904,1,M
RUA L,915,40,F
RUA B,308,24,M
RUA T,409,20,F
RUA F,105,96,M
RUA T,362,90,F
RUA V,339,68,F
RUA R,878,57,F
RUA G,563,32,M
RUA S,36,10,F
RUA H,880,76,M
RUA M,786,14,M
RUA M,416,42,F
RUA K,15,38,M
RUA W,234,0,M
RUA R,864,28,F
RUA I,959,53,M
RUA C,378,67,M
RUA S,248,54,M
RUA A,906,10,F
RUA Q,695,86,M
RUA P,387,88,M
RUA Q,585,33,F
RUA G,893,68,F
RUA G,50,8,F
RUA B,169,79,F
RUA J,225,76,F
RUA A,217,64,F
RUA G,211,82,F
RUA F,380,79,M
RUA H,802,54,F
RUA R,984,81,M
RUA V,231,76,M
RUA A,88,37,M
RUA I,338,94,M
RUA U,937,39,M
RUA U,303,74,F
RUA A,577,32,M
RUA Q,877,15,M
RUA F,526,73,F
RUA C,209,75,M
RUA P,481,11,M
RUA S,369,97,F
RUA J,466,94,F
RUA N,574,86,F
RUA E,449,28,M
RUA M,480,35,F
RUA J,265,36,F
RUA U,417,63,F
RUA Q,154,41,M
RUA W,495,17,M
RUA N,815,11,M
RUA L,317,80,F
RUA N,362,24,M
RUA K,562,99,F
RUA G,640,35,F
RUA C,351,81,F
RUA I,926,9,F
RUA O,157,21,M
RUA T,516,9,F
RUA O,210,62,M
RUA R,680,65,M
RUA L,388,56,M
RUA N,641,55,M
RUA Q,519,68,M
RUA I,611,12,M
RUA O,644,30,M
RUA T,96,57,F
RUA O,598,76,M
RUA H,202,18,M
RUA C,229,29,M
RUA O,526,4,F
RUA T,694,70,F
RUA W,228,91,M
RUA U,248,72,M
RUA L,538,52,F
RUA W,226,55,F
RUA R,330,93,F
RUA E,983,79,M
RUA A,148,58,M
RUA Q,861,19,F
RUA M,61,93,M
RUA A,408,45,F
RUA M,618,39,M
RUA X,817,65,F
RUA N,80,70,M
RUA A,18,54,M
RUA B,215,46,F
RUA S,439,37,M
RUA U,916,50,F
RUA P,447,87,F
RUA W,611,17,F
RUA L,635,100,F
RUA D,318,40,M
RUA L,982,64,M
RUA Q,250,17,M
RUA B,503,68,F
RUA O,793,36,M
RUA T,625,57,M
RUA B,520,28,F
RUA W,665,48,M
RUA H,264,6,F
RUA S,937,74,M
RUA X,63,9,M
RUA I,765,38,F
RUA V,503,6,F
RUA G,823,71,M
RUA V,582,45,F
RUA E,155,8,F
RUA B,731,24,M
RUA C,495,26,F
RUA X,402,49,F
RUA D,699,34,M
RUA F,687,83,M
RUA W,330,63,M
RUA M,591,40,F
RUA S,172,2,F
RUA W,406,30,F
RUA E,665,78,F
RUA G,499,95,M
RUA W,237,53,F
RUA O,263,66,M
RUA W,755,41,M
RUA H,364,45,M
RUA I,165,94,F
RUA U,574,96,M
RUA N,812,100,M
RUA B,507,78,M
RUA L,62,41,M
RUA B,716,82,M
RUA B,616,54,F
RUA Q,222,76,F
RUA K,691,83,F
RUA H,412,79,F
RUA H,380,53,F
RUA Q,837,98,F
RUA N,906,69,F
RUA C,78,65,M
RUA S,910,37,F
RUA R,516,58,F
RUA H,455,23,M
RUA J,516,96,M
RUA P,142,58,M
RUA O,584,40,F
RUA J,373,29,M
RUA G,24,87,F
RUA S,863,52,F
RUA B,665,55,F
RUA G,393,20,F
RUA P,901,16,F
RUA N,664,14,M
RUA W,463,86,F
RUA A,27,69,M
RUA W,994,2,F
RUA U,803,6,F
RUA U,720,52,M
RUA F,835,96,F
RUA J,127,38,M
RUA T,440,4,M
RUA U,24,89,F
RUA S,338,17,F
RUA W,221,41,M
RUA K,214,3,M
RUA M,236,100,F
RUA D,868,61,M
RUA I,485,37,F
RUA S,444,33,M
RUA D,791,86,M
RUA H,261,88,M
RUA U,318,79,M
RUA H,634,70,F
RUA P,923,41,F
RUA W,870,60,F
RUA K,854,2,F
RUA R,87,69,M
RUA T,776,8,F
RUA R,607,33,M
RUA V,610,72,F
RUA O,396,76,F
RUA T,787,71,F
RUA U,536,2,M
RUA G,369,37,F
RUA E,486,57,M
RUA H,732,81,F
RUA O,42,5,F
RUA Q,511,65,M
RUA X,451,90,F
RUA X,658,64,F
RUA E,372,28,F
RUA P,732,67,F
RUA N,146,55,F
RUA J,46,53,F
RUA N,779,44,F
RUA A,716,59,F
RUA A,510,3,F
RUA I,342,6,M
RUA V,974,69,F
RUA C,648,93,F
RUA K,263,69,F
RUA D,361,95,F
RUA Q,506,50,M
RUA R,311,27,F
RUA G,906,69,M
RUA L,140,63,F
RUA G,334,62,M
RUA O,760,41,F
RUA G,734,96,M
RUA W,102,29,M
RUA N,553,52,M
RUA F,890,2,F
RUA J,494,88,M
RUA B,747,83,M
RUA B,379,41,F
RUA Q,180,32,F
RUA G,65,11,M
RUA P,360,56,F
RUA S,145,96,M
RUA H,872,27,M
RUA M,444,66,M
RUA J,284,27,M
RUA F,917,67,M
RUA G,271,60,M
RUA M,229,6,M
RUA F,741,41,F
RUA N,578,19,F
RUA R,179,87,F
RUA K,465,27,F
RUA H,414,33,F
RUA L,218,16,M
RUA O,233,46,F
RUA F,120,43,M
RUA D,728,90,M
RUA T,385,90,F
RUA P,727,20,M
RUA X,91,81,F
RUA I,685,85,M
RUA B,306,15,F
RUA D,145,46,F
RUA I,943,16,M
RUA I,104,95,F
RUA K,305,19,F
RUA X,324,85,F
RUA S,793,39,M
RUA P,385,73,F
RUA X,704,58,F
RUA U,73,86,F
RUA I,824,48,F
RUA N,485,51,M
RUA X,404,74,M
RUA V,627,60,F
RUA H,599,19,M
RUA B,188,23,M
RUA I,896,7,F
RUA L,868,91,F
RUA M,160,90,M
RUA W,312,12,F
RUA T,556,70,M
RUA L,958,3,M
RUA J,550,92,F
RUA E,67,23,F
RUA D,455,1,M
RUA N,614,97,F
RUA O,600,43,F
RUA L,573,59,F
RUA X,732,12,F
RUA H,17,35,M
RUA K,777,0,M
RUA G,810,71,M
RUA N,690,100,F
RUA M,201,97,M
RUA L,485,52,M
RUA H,504,57,M
RUA C,198,2,F
RUA D,237,33,M
RUA V,925,27,M
RUA S,355,28,F
RUA B,74,26,F
RUA T,550,83,F
RUA T,360,41,M
RUA V,133,78,M
RUA A,506,58,F
RUA F,365,11,M
RUA E,691,61,F
RUA F,292,52,M
RUA I,832,42,M
RUA X,214,26,M
RUA X,148,21,F
RUA J,947,62,F
RUA S,544,61,F
RUA F,275,11,M
RUA Q,92,12,M
RUA D,430,96,M
RUA R,922,54,M
RUA U,471,92,M
RUA K,34,36,M
RUA U,642,52,F
RUA B,335,13,M
RUA M,299,6,F
RUA O,250,46,M
RUA A,37,39,M
RUA B,899,39,M
RUA K,879,25,M
RUA X,965,64,F
RUA X,344,4,M
RUA U,770,9,F
RUA P,154,80,M
RUA I,779,22,F
RUA D,861,37,F
RUA D,324,72,M
RUA J,704,66,F
RUA E,229,92,F
RUA Q,994,85,F
RUA O,581,23,M
RUA U,954,33,F
RUA E,354,53,F
RUA I,256,43,M
RUA S,309,9,M
RUA P,240,96,M
RUA U,975,100,F
RUA P,262,0,F
RUA R,345,87,M
RUA X,952,42,F
RUA E,847,47,F
RUA A,380,69,F
RUA N,47,6,F
RUA B,168,56,F
RUA C,540,18,M
RUA H,336,2,F
RUA E,734,79,F
RUA O,212,27,F
RUA K,351,21,M
RUA C,390,12,F
RUA P,37,36,M
RUA J,168,69,F
RUA K,304,44,M
RUA C,805,33,M
RUA L,819,86,M
RUA T,542,54,M
RUA I,211,74,F
RUA F,432,71,M
RUA W,220,52,M
RUA R,59,29,F
RUA G,73,87,F
RUA C,355,66,M
RUA M,529,100,M
RUA B,340,53,F
RUA G,396,90,M
RUA M,441,88,F
RUA H,925,50,F
RUA H,999,33,M
RUA W,745,71,F
RUA F,525,15,M
RUA D,652,3,F
RUA I,333,100,M
RUA S,141,40,F
RUA P,356,99,F
RUA Q,149,73,M
RUA K,734,7,M
RUA E,300,45,M
RUA P,775,81,M
RUA X,183,77,M
RUA R,61,60,M
RUA C,630,17,M
RUA I,745,72,M
RUA O,290,21,M
RUA J,300,80,M
RUA V,394,43,F
RUA A,824,71,F
RUA V,790,47,M
RUA N,99,34,F
RUA C,242,39,M
RUA N,68,22,F
RUA V,891,73,M
RUA X,260,62,M
RUA J,817,11,M
RUA C,939,86,M
RUA D,253,45,F
RUA R,464,48,M
RUA C,159,90,F
RUA H,577,61,F
RUA S,593,65,M
RUA V,602,76,M
RUA E,141,18,F
RUA I,369,51,F
RUA W,238,46,M
RUA C,216,58,M
RUA K,323,52,F
RUA C,13,40,F
RUA R,53,75,F
RUA Q,115,55,F
RUA W,452,57,M
RUA M,700,52,M
RUA J,765,80,F
RUA I,530,69,M
RUA D,297,3,M
RUA P,477,40,F
RUA P,34,72,M
RUA N,750,18,M
RUA V,95,0,M
RUA R,885,23,M
RUA E,940,48,M
RUA T,610,47,F
RUA N,863,18,M
RUA Q,188,56,F
RUA O,107,95,M
RUA R,863,1,M
RUA V,990,80,M
RUA H,475,24,F
RUA V,535,54,F
RUA P,747,48,F
RUA G,995,62,M
RUA M,848,34,M
RUA X,531,49,F
RUA O,9,90,F
RUA N,464,42,F
RUA A,828,79,M
RUA X,814,17,F
RUA C,464,21,F
RUA S,313,88,M
RUA W,871,58,M
RUA R,170,9,F
RUA B,479,77,M
RUA I,259,10,F
RUA H,982,26,F
RUA R,111,64,F
RUA Q,713,74,F
RUA D,913,73,F
RUA L,890,35,F
RUA B,86,98,M
RUA F,422,43,F
RUA J,951,24,F
RUA F,525,32,M
RUA D,574,55,F
RUA P,935,12,F
RUA H,356,65,F
RUA G,896,90,F
RUA X,19,38,F
RUA T,500,2,F
RUA R,812,0,F
RUA H,999,84,M
RUA G,303,81,F
RUA V,925,63,M
RUA S,846,22,M
RUA G,463,68,F
RUA M,366,58,M
RUA H,855,29,F
RUA B,300,68,F
RUA C,267,6,F
RUA V,522,21,M
RUA E,211,64,M
RUA G,395,79,F
RUA F,436,98,F
RUA S,59,3,M
RUA W,837,88,M
RUA D,196,41,F
RUA L,237,48,F
RUA G,34,30,F
RUA F,628,62,F
RUA L,174,93,F
RUA E,912,18,F
RUA B,615,21,F
RUA R,24,43,M
RUA H,76,23,M
RUA J,476,3,F
RUA G,147,35,F
RUA D,654,70,F
RUA I,649,88,M
RUA J,514,77,M
RUA F,413,85,M
RUA L,72,17,M
RUA C,126,28,M
RUA R,620,92,M
RUA C,312,56,F
RUA B,262,62,M
RUA V,882,41,M
RUA H,817,17,F
RUA O,972,22,F
RUA O,450,26,M
RUA N,160,61,M
RUA Q,761,64,M
RUA A,911,66,M
RUA S,539,60,M
RUA I,951,22,F
RUA O,194,10,M
RUA B,858,55,F
RUA I,644,44,F
RUA V,947,29,M
RUA H,713,14,M
RUA T,660,85,F
RUA C,286,11,F
RUA H,375,98,M
RUA X,860,27,M
RUA J,279,11,F
RUA K,896,69,F
RUA M,197,39,M
RUA B,544,16,M
RUA M,230,62,F
RUA D,908,71,F
RUA A,438,91,M
RUA L,866,33,F
RUA P,328,17,M
RUA E,799,39,F
RUA W,329,79,M
RUA L,515,97,F
RUA F,262,32,F
RUA G,611,23,F
RUA N,409,59,M
RUA L,12,29,M
RUA T,419,61,F
RUA N,753,27,F
RUA M,702,95,M
RUA L,996,46,M
RUA S,92,46,M
RUA D,887,50,F
RUA B,626,9,F
RUA A,874,51,F
RUA U,681,98,F
RUA P,288,40,F
RUA X,510,78,F
RUA X,806,89,F
RUA J,965,48,M
RUA O,998,80,M
RUA H,711,51,F
RUA R,485,10,M
RUA Q,319,75,F
RUA J,568,62,M
RUA X,203,10,F
RUA X,831,91,F
RUA T,98,2,M
